ID,WWD,WWM,YWD,HPD,$M,CED,Reg_#,Sire
Lot_2,63,42,102,10.3,72,-7,19944976,Steamboat
Lot_3,79,78,129,10.8,55,-5,19940708,Steamboat
Lot_4,75,55,126,14.4,62,-10,19940711,Steamboat
Lot_5,79,55,133,9.9,62,1,19940710,steamboat
Lot_6,84,110,145,9.3,53,0,19914395,Steamboat
Lot_7,73,82,130,13.5,68,1,19914329,steamboat
Lot_8,60,65,108,6.8,62,2,19914391,steamboat
Lot_9,85,95,145,10.9,75,-2,19914392,steamboat
Lot_10,67,97,133,11,38,9,19914393,Steamboat
Lot_11,81,106,151,12.8,61,0,19914404,Steamboat
Lot_12,90,114,159,12.4,54,-4,19914334,Steamboat
Lot_13,79,81,138,8,49,-1,19914332,Steamboat
Lot_14,72,47,119,7.8,75,4,19914325,Steamboat
Lot_15,73,82,130,10.8,61,4,19914381,Steamboat
Lot_16,70,53,124,11.1,53,6,19914336,Steamboat
Lot_17,77,85,129,10.9,54,-6,19914387,Steamboat
Lot_18,74,0,123,0,73,0,19914383,Steamboat
Lot_19,90,94,152,14.1,67,-3,19914408,Steamboat
Lot_20,49,28,85,8.3,66,8,19914399,Steamboat
Lot_21,72,71,122,9.5,70,1,19914337,Steamboat
Lot_22,78,104,135,13.9,60,3,19914330,Steamboat
Lot_23,75,96,144,11.7,48,1,19914375,Steamboat
Lot_24,72,89,125,6.1,75,-2,19914376,Steamboat
Lot_25,57,64,100,10.2,57,-1,19914377,Steamboat
Lot_26,85,99,146,11.8,54,-1,19914394,Steamboat
Lot_27,58,39,105,8.5,69,4,19914378,Steamboat
Lot_28,69,59,104,11.4,65,-6,19914396,Steamboat
Lot_29,50,42,98,10.5,56,8,19923895,Coalition
Lot_30,58,38,96,7.6,59,5,19923923,Coalition
Lot_31,71,62,128,6.8,61,7,19923919,Coalition
Lot_32,61,63,116,12.2,62,1,19923916,Coalition
Lot_33,64,70,106,7.9,52,5,19923904,Coalition
Lot_34,74,57,133,12.2,75,-1,19923894,Coalition
Lot_35,79,51,130,13.8,85,3,19923891,Coalition
Lot_36,68,81,130,9.4,44,1,19923877,Coalition
Lot_37,51,35,101,9.9,67,9,19923880,Coalition
Lot_38,69,90,122,7.8,42,13,19923872,Coalition
Lot_39,49,7,87,10.6,74,12,19925711,circle L Gus
Lot_40,60,19,93,12.8,78,1,19925715,circle L Gus
Lot_41,65,57,120,13.7,69,9,19925709,circle L Gus
Lot_42,65,32,104,13.2,87,10,19925691,circle L Gus
Lot_43,69,78,129,10.9,58,13,19925706,circle L Gus
Lot_44,65,35,107,13.4,86,7,19925692,circle L Gus
Lot_45,72,31,117,11.4,85,7,19925699,circle L Gus
Lot_46,51,0,88,0,89,14,19925686,circle L Gus
Lot_47,64,52,116,15.4,74,6,19925714,circle L Gus
Lot_48,55,20,90,13.3,78,11,19925700,circle L Gus
Lot_49,57,37,98,13.1,79,12,19925705,circle L Gus
Lot_50,77,72,128,11.7,74,7,19925695,Marcy's Spur
