ASA_Nbr,Tattoo,Name,Brth_Dt,Sex,Sire_Nbr,Sire,Dam_Id,GE,Color,API,%_Rank,Ti,%_Rank,CE_Epd,%_Rank,B_Wt_Epd,%_Rank,W_Wt_Epd,%_Rank,Y_Wt_Epd,%_Rank,MCE_Epd,%_Rank,Mlk_Epd,%_Rank,MWW_Epd,%_Rank,Stay_Epd,%_Rank,C_Wt_Epd,%_Rank,Marb_Epd,%_Rank,YG_Epd,%_Rank,BF_Epd,%_Rank,REA_Epd,%_Rank
3596466,9001G,9001G,2/7/2019,B,3410511,SPRING COVE CROSSBOW,E001,true,B,154.6,4,84.2,2,17.6,4,-2.9,4,65.1,50,100.5,45,9.3,10,13.2,95,45.7,90,11.4,85,50.5,2,0.79,1,0.03,95,0.016,95,0.56,65
3596510,9003G,9003G,2/11/2019,B,3252381,SCHULER RED 71 AMPED D303,E139,true,R,162.8,2,86.2,2,23.3,1,-5,1,73.2,20,121.3,10,14.6,1,21.8,50,58.4,30,15.7,50,40.5,15,0.47,20,-0.09,90,0.01,95,0.75,25
3596467,9005G,9005G,2/13/2019,B,3410510,CONNEALY LEGENDARY 644L,E004,true,B,150.1,10,87,1,16.1,10,-1,20,69.4,35,107.5,30,8.9,15,18.8,80,53.5,55,9.2,95,48.9,3,0.83,1,-0.16,75,-0.005,95,0.97,4
3596495,9009G,9009G,2/18/2019,B,3252381,SCHULER RED 71 AMPED D303,E080,true,R,133.4,30,74.3,30,16.2,10,-1.6,15,67.6,40,109.1,30,7,40,25.9,20,59.6,20,15.1,55,44.8,10,0.27,55,-0.27,40,-0.06,35,0.82,15
3596496,9014G,9014G,2/19/2019,B,3252381,SCHULER RED 71 AMPED D303,E081,true,R,136.1,25,81.1,10,15.7,15,-2.4,10,71.6,25,116.6,15,7.8,2525,25.8,20,61.6,15,11.4,85,46.5,5,0.4,30,-0.3,30,-0.064,35,0.92,10
3596513,9019G,9019G,2/21/2019,B,2675742,WS PRIME BEEF Z8,E151,true,R,155.6,3,80.3,10,15.9,10,-1.8,10,69.2,35,106,35,10.4,4,21.1,60,55.7,45,19.6,10,15.9,95,0.45,20,-0.25,45,-0.043,60,0.52,70
3596475,9020G,9020G,2/21/2019,B,2675742,WS PRIME BEEF Z8,E024,true,R,139.6,20,80.8,10,13,35,-1.5,15,76.8,10,116.6,15,4.2,85,19.1,75,57.5,35,15.7,50,21.6,85,0.32,45,-0.29,35,-0.077,20,0.48,80
3596522,9028G,9028G,2/22/2019,B,2675742,WS PRIME BEEF Z8,E203,true,R,151.2,10,71.6,40,17.9,3,-2.7,5,60.5,70,94.3,60,10.6,3,25.5,20,55.7,45,22.7,2,18.9,90,0.24,60,-0.25,45,-0.032,75,0.67,40
3596514,9037G,9037G,2/25/2019,B,2954741,GW TRIPLE CROWN 018C,E164,true,B,169.8,1,81.9,5,18.8,2,-3,4,64.8,50,106.2,35,8.5,20,14.9,95,47.3,85,21.1,2,42.2,10,0.65,4,-0.04,95,-0.003,95,0.55,65
3596502,9038G,9038G,2/25/2019,B,3410510,CONNEALY LEGENDARY 644L,E106,true,B,166.6,1,88.8,1,19,2,-0.7,25,71.2,25,112.2,20,9.3,10,17.6,85,53.1,60,14.4,65,38.7,20,0.87,1,-0.13,80,-0.001,95,0.78,20
3596434,9039G,9039G,2/25/2019,B,2954741,GW TRIPLE CROWN 018C,D055,true,B,161.7,2,81.5,10,14.9,15,-2.9,4,57.3,80,91.7,65,7.8,25,25,25,53.6,55,17.3,30,33.1,35,0.8,1,-0.12,85,-0.018,90,0.54,70
3596551,9049G,9049G,2/28/2019,B,3410511,SPRING COVE CROSSBOW,Z044,true,B,150.3,10,75.3,25,13.9,25,-0.4,30,59.4,70,92.4,65,9,15,24.3,30,54,55,18.5,15,27.6,60,0.66,3,0.04,95,0.009,95,0.2,95
3596520,9052G,9052G,3/1/2019,B,2675742,WS PRIME BEEF Z8,E190,true,R,143.1,15,72.2,40,17.5,4,-2.4,10,65,50,98.7,50,11.6,2,20.8,60,53.2,60,19.8,10,19.1,90,0.19,70,-0.31,30,-0.042,60,0.77,25
3596571,9056G,9056G,3/2/2019,B,2954741,GW TRIPLE CROWN 018C,A149,true,B,148.4,10,80.4,10,14.8,20,-1.1,20,70.1,30,115.2,15,7,40,18.4,80,53.5,55,16.7,35,39.4,15,0.51,15,-0.25,45,-0.024,85,0.97,4
